model,step,score,reward,fires
Dueling Double DQN,87036,-60.0,-170.27609855599098,30
Dueling Double DQN,87265,-52.0,-162.27939060239723,26
Dueling Double DQN,87494,-56.0,-166.28579644381887,28
Dueling Double DQN,87723,-46.0,-156.28789156340494,33
Dueling Double DQN,87952,-78.0,-188.29153835085594,39
Dueling Double DQN,88181,-60.0,-170.2869774255753,30
Dueling Double DQN,88410,-32.0,-142.28818484603704,26
Dueling Double DQN,88639,-52.0,-162.29989108031492,26
Dueling Double DQN,88868,-44.0,-154.30232136664608,22
Dueling Double DQN,89097,-16.0,-126.29095373311833,18
Dueling Double DQN,89326,-42.0,-152.29321258330182,21
Dueling Double DQN,89555,-48.0,-158.29278152588049,24
Dueling Double DQN,89784,-64.0,-174.29099452566854,32
Dueling Double DQN,90013,-36.0,-146.29629381596988,28
Dueling Double DQN,90242,-60.0,-170.26799355191633,30
Dueling Double DQN,90471,-62.0,-172.30731595284243,41
Dueling Double DQN,90700,-52.0,-162.3177264546278,26
Dueling Double DQN,90929,-52.0,-162.2918634439078,26
Dueling Double DQN,91158,-54.0,-164.2937747304194,27
Dueling Double DQN,91387,-62.0,-172.1145840822832,31
Dueling Double DQN,91616,-52.0,-162.29738245125912,36
Dueling Double DQN,91845,-58.0,-168.29805698496568,29
Dueling Double DQN,92074,-46.0,-156.3077610525886,33
Dueling Double DQN,92303,-60.0,-170.2945042309605,30
Dueling Double DQN,92532,-52.0,-162.28575332901264,26
Dueling Double DQN,92761,-46.0,-156.31106471711914,23
Dueling Double DQN,92990,-60.0,-170.31548127843735,30
Dueling Double DQN,93219,-70.0,-180.30660713967268,35
Dueling Double DQN,93448,-48.0,-158.2950742610259,24
Dueling Double DQN,93677,-34.0,-144.27765364671572,27
Dueling Double DQN,93906,-66.0,-176.29965951081067,33
Dueling Double DQN,94135,-56.0,-166.29319144628792,28
Dueling Double DQN,94364,-44.0,-154.3024019810066,32
Dueling Double DQN,94593,-52.0,-162.2931280388333,26
Dueling Double DQN,94822,-30.0,-140.28699544716892,25
Dueling Double DQN,95051,-64.0,-174.2747414347302,32
Dueling Double DQN,95280,-54.0,-164.31402582044407,27
Dueling Double DQN,95509,-70.0,-180.293029950192,35
Dueling Double DQN,95738,-66.0,-176.30111887345083,33
Dueling Double DQN,95967,-52.0,-162.2837843142639,26
Dueling Double DQN,96196,-40.0,-150.28579261925728,20
Dueling Double DQN,96425,-38.0,-148.30311922885576,29
Dueling Double DQN,96654,-72.0,-182.2921532424847,36
Dueling Double DQN,96883,-60.0,-170.3086439548833,30
Dueling Double DQN,97112,-46.0,-156.28343986395402,33
Dueling Double DQN,97341,-66.0,-176.2972348260179,33
Dueling Double DQN,97570,-52.0,-162.3026214768855,26
Dueling Double DQN,97799,-54.0,-164.29415615402993,27
Dueling Double DQN,98028,-56.0,-166.2967673724399,28
Dueling Double DQN,98257,-62.0,-172.30206831868733,31
Dueling Double DQN,98486,-34.0,-144.28089778738763,27
Dueling Double DQN,98715,-40.0,-150.28159239036978,30
Dueling Double DQN,98944,-64.0,-174.28693733899155,32
Dueling Double DQN,99173,-42.0,-152.2941690982348,21
Dueling Double DQN,99402,-56.0,-166.2961475919125,28
Dueling Double DQN,99631,-52.0,-162.30691707675444,26
Dueling Double DQN,99860,-54.0,-164.28956321848847,27
Dueling Double DQN,100089,-36.0,-146.30025305073573,28
Dueling Double DQN,100318,-62.0,-172.29519860742968,31
Dueling Double DQN,100547,-24.0,-134.29909741855133,22
Dueling Double DQN,100776,-70.0,-180.2774810516944,35
Dueling Double DQN,101005,-36.0,-146.28792641446472,28
Dueling Double DQN,101234,-46.0,-156.2935519279953,23
Dueling Double DQN,101463,-46.0,-156.28916417849854,33
Dueling Double DQN,101692,-66.0,-176.2820695028683,33
Dueling Double DQN,101921,-50.0,-160.30563286076293,25
Dueling Double DQN,102150,-58.0,-168.32352691769194,29
Dueling Double DQN,102379,-40.0,-150.30041914986117,30
Dueling Double DQN,102608,-46.0,-156.2971576996871,23
Dueling Double DQN,102837,-78.0,-188.29075931810766,39
Dueling Double DQN,103066,-32.0,-142.29345824913406,26
Dueling Double DQN,103295,-72.0,-182.29756189180716,36
