model,step,score,reward,fires
Dueling Double DQN,59320,-2.0,-112.30108164315985,1
Dueling Double DQN,59549,0.0,-110.29445257977773,0
Dueling Double DQN,59778,-2.0,-112.27397057900748,1
Dueling Double DQN,60007,0.0,-110.28393436809803,0
Dueling Double DQN,60236,-6.0,-116.30123781537398,3
Dueling Double DQN,60465,-2.0,-112.29476623968475,1
Dueling Double DQN,60694,-4.0,-114.28058601536299,2
Dueling Double DQN,60923,-2.0,-112.30132404077175,1
Dueling Double DQN,61152,-4.0,-114.30500025327495,2
Dueling Double DQN,61381,-6.0,-116.31119443800675,3
Dueling Double DQN,61610,-4.0,-114.24822935339961,2
Dueling Double DQN,61839,-4.0,-114.30923401609948,2
Dueling Double DQN,62068,-4.0,-114.31835627842926,2
Dueling Double DQN,62297,0.0,-110.27957298240375,0
Dueling Double DQN,62526,0.0,-110.30281112069616,0
Dueling Double DQN,62755,-2.0,-112.3013774105859,1
Dueling Double DQN,62984,-8.0,-118.27819179449992,4
Dueling Double DQN,63213,-4.0,-114.30536591838231,2
Dueling Double DQN,63442,-4.0,-114.30213962575242,2
Dueling Double DQN,63671,-2.0,-112.30314299392167,1
Dueling Double DQN,63900,-8.0,-118.28793012968009,14
Dueling Double DQN,64129,0.0,-110.2882942419484,0
Dueling Double DQN,64358,-4.0,-114.25826646617894,2
Dueling Double DQN,64587,-4.0,-114.30715605545157,2
Dueling Double DQN,64816,-6.0,-116.1350340120944,3
Dueling Double DQN,65045,12.0,-98.29808187731895,4
Dueling Double DQN,65274,-2.0,-112.31003971413422,1
Dueling Double DQN,65503,-4.0,-114.2930212581562,2
Dueling Double DQN,65732,-2.0,-112.290570770975,1
Dueling Double DQN,65961,-4.0,-114.2356506153276,2
Dueling Double DQN,66190,-4.0,-114.28900162560161,2
Dueling Double DQN,66419,-6.0,-116.28231372435104,3
Dueling Double DQN,66648,-8.0,-118.30166195125258,4
Dueling Double DQN,66877,0.0,-110.30144662035781,0
Dueling Double DQN,67106,-4.0,-114.30141584477516,2
Dueling Double DQN,67335,-4.0,-114.27356591930466,2
Dueling Double DQN,67564,-2.0,-112.31791223094284,1
Dueling Double DQN,67793,-2.0,-112.26086811851681,1
Dueling Double DQN,68022,-6.0,-116.29445147915783,3
Dueling Double DQN,68251,-2.0,-112.30113996193062,1
