model,step,score,reward,fires
Dueling Double DQN,68019,-50.0,-159.74292378921555,35
Dueling Double DQN,68248,-58.0,-168.28731977582683,39
Dueling Double DQN,68477,-64.0,-174.2994731467407,42
Dueling Double DQN,68706,-52.0,-162.3146136600593,36
Dueling Double DQN,68935,-74.0,-184.29525679173994,37
Dueling Double DQN,69164,-32.0,-142.2888388507328,26
Dueling Double DQN,69393,-76.0,-186.29411227969453,38
Dueling Double DQN,69622,-86.0,-196.29713053261497,43
Dueling Double DQN,69851,-54.0,-164.2817465697422,37
Dueling Double DQN,70080,-64.0,-174.25944114279326,32
Dueling Double DQN,70309,-58.0,-168.29528981798012,29
Dueling Double DQN,70538,-76.0,-186.30691185334587,38
Dueling Double DQN,70767,-38.0,-148.29659726109574,29
Dueling Double DQN,70996,-64.0,-174.3075071860302,32
Dueling Double DQN,71225,-58.0,-168.30675216832964,29
Dueling Double DQN,71454,-74.0,-184.30199581637407,37
Dueling Double DQN,71683,-88.0,-198.29975327294025,44
Dueling Double DQN,71912,-68.0,-178.2891601585029,44
Dueling Double DQN,72141,-68.0,-178.2811056765559,34
Dueling Double DQN,72370,-90.0,-200.29755487113346,45
Dueling Double DQN,72599,-72.0,-182.31075090343307,36
Dueling Double DQN,72828,-64.0,-174.2953948856612,42
Dueling Double DQN,73057,-62.0,-172.2863991894178,31
Dueling Double DQN,73286,-56.0,-166.2805800127851,38
Dueling Double DQN,73515,-42.0,-152.29223575439323,31
Dueling Double DQN,73744,-46.0,-156.29401925160354,33
Dueling Double DQN,73973,-66.0,-176.28315639662335,33
Dueling Double DQN,74202,-50.0,-160.29795234291984,25
Dueling Double DQN,74431,-76.0,-186.28025665449593,38
Dueling Double DQN,74660,-70.0,-180.29285036870743,35
Dueling Double DQN,74889,-60.0,-170.30432602821278,30
Dueling Double DQN,75118,-58.0,-168.2818245646447,29
Dueling Double DQN,75347,-66.0,-176.30107087714185,33
Dueling Double DQN,75576,-72.0,-182.29555620141707,36
Dueling Double DQN,75805,-76.0,-186.28705010728947,38
Dueling Double DQN,76034,-48.0,-158.31353564512932,34
Dueling Double DQN,76263,-60.0,-170.3000651851827,30
Dueling Double DQN,76492,-66.0,-176.29950935656797,33
Dueling Double DQN,76721,-96.0,-206.3025352519014,48
Dueling Double DQN,76950,-42.0,-152.294188726756,31
Dueling Double DQN,77179,-62.0,-172.28373221471412,31
Dueling Double DQN,77408,-72.0,-182.29705509761843,36
Dueling Double DQN,77637,-32.0,-142.29699431086453,26
Dueling Double DQN,77866,-50.0,-160.27565992147277,35
Dueling Double DQN,78095,-36.0,-146.28886328653957,28
Dueling Double DQN,78324,-88.0,-198.28690212706198,44
Dueling Double DQN,78553,-62.0,-172.2972362728589,31
Dueling Double DQN,78782,-60.0,-170.29816509220166,30
Dueling Double DQN,79011,-64.0,-174.28903988223323,42
Dueling Double DQN,79240,-74.0,-184.2927976093075,37
Dueling Double DQN,79469,-50.0,-160.3045640806177,25
Dueling Double DQN,79699,-40.0,-150.23098554432312,30
Dueling Double DQN,79928,-80.0,-190.29284438727586,40
